 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
583,ER.ATL2.png,2,5.657,0.785,2.828,467,153,45.000,1.414,2.646,0.378,0.667
584,ER.ATL2.png,1,2.828,1.000,1.414,503,151,135.000,1.000,1.000,1.000,1.000
585,ER.ATL2.png,1,2.828,1.000,1.414,107,152,135.000,1.000,1.000,1.000,1.000
586,ER.ATL2.png,1,2.828,1.000,1.414,396,152,135.000,1.000,1.000,1.000,1.000
587,ER.ATL2.png,4,5.657,1.000,2.828,411,152,135.000,2.000,1.000,1.000,1.000
588,ER.ATL2.png,127,91.539,0.190,18.974,501,164,18.435,12.537,1.418,0.705,0.672
589,ER.ATL2.png,1,2.828,1.000,1.414,113,153,135.000,1.000,1.000,1.000,1.000
590,ER.ATL2.png,1,2.828,1.000,1.414,164,153,135.000,1.000,1.000,1.000,1.000
591,ER.ATL2.png,1,2.828,1.000,1.414,253,153,135.000,1.000,1.000,1.000,1.000
592,ER.ATL2.png,4,7.071,1.000,3.606,273,154,146.310,2.000,2.031,0.492,0.800
593,ER.ATL2.png,1,2.828,1.000,1.414,466,154,135.000,1.000,1.000,1.000,1.000
594,ER.ATL2.png,1,2.828,1.000,1.414,472,154,135.000,1.000,1.000,1.000,1.000
595,ER.ATL2.png,4,9.071,0.611,4.243,519,157,45.000,2.121,2.530,0.395,0.615
596,ER.ATL2.png,37,53.255,0.164,10.440,108,155,106.699,9.701,1.103,0.906,0.507
597,ER.ATL2.png,6,16.142,0.289,5.385,380,155,111.801,3.000,2.041,0.490,0.500
598,ER.ATL2.png,1,2.828,1.000,1.414,415,155,135.000,1.000,1.000,1.000,1.000
599,ER.ATL2.png,1,2.828,1.000,1.414,418,155,135.000,1.000,1.000,1.000,1.000
600,ER.ATL2.png,1,2.828,1.000,1.414,106,156,135.000,1.000,1.000,1.000,1.000
601,ER.ATL2.png,2,4.828,1.000,2.236,119,156,116.565,1.000,2.000,0.500,1.000
602,ER.ATL2.png,1,2.828,1.000,1.414,405,156,135.000,1.000,1.000,1.000,1.000
603,ER.ATL2.png,2,5.657,0.785,2.828,101,159,45.000,1.414,2.646,0.378,0.667
